epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.512,1.40497,2.89406,1.16557,0.81285,0.27039,0.30121,0.21616,1.08665,1.32068,1.01908,8.12404e-05,8.12404e-05,8.12404e-05
2,205.279,1.1331,1.37513,1.04157,0.77284,0.38155,0.4418,0.32138,0.99323,0.8708,0.98536,0.000159355,0.000159355,0.000159355
3,303.662,1.04796,1.06636,1.00543,0.66797,0.52031,0.55457,0.39874,0.91591,0.75188,0.95645,0.000234248,0.000234248,0.000234248
4,401.09,0.99789,0.92614,0.98629,0.71663,0.58524,0.63393,0.45734,0.88344,0.64183,0.94795,0.000229506,0.000229506,0.000229506
5,498.46,0.96849,0.84082,0.97486,0.81947,0.60131,0.668,0.48135,0.85872,0.6189,0.93735,0.000224675,0.000224675,0.000224675
6,595.684,0.94252,0.7788,0.96628,0.83837,0.62227,0.702,0.50066,0.83864,0.58195,0.93263,0.000219844,0.000219844,0.000219844
7,692.895,0.92359,0.73307,0.95753,0.83532,0.67064,0.73494,0.53336,0.81932,0.54498,0.92386,0.000215013,0.000215013,0.000215013
8,790.85,0.90306,0.69691,0.95026,0.78591,0.71791,0.75768,0.5443,0.80858,0.52676,0.92013,0.000210182,0.000210182,0.000210182
9,888.679,0.89279,0.67504,0.94717,0.8131,0.7219,0.76687,0.55546,0.8048,0.51707,0.91691,0.00020535,0.00020535,0.00020535
10,986.739,0.88666,0.65655,0.94573,0.82804,0.74585,0.79152,0.56701,0.79534,0.50211,0.91578,0.000200519,0.000200519,0.000200519
11,1085.94,0.8708,0.63273,0.93866,0.85322,0.72842,0.79607,0.58198,0.78037,0.49344,0.90995,0.000195688,0.000195688,0.000195688
12,1184.53,0.86069,0.61765,0.93683,0.8177,0.76321,0.81308,0.59276,0.76852,0.47717,0.90712,0.000190857,0.000190857,0.000190857
13,1281.94,0.8505,0.59947,0.93271,0.81961,0.77647,0.81761,0.60131,0.7592,0.4703,0.90236,0.000186026,0.000186026,0.000186026
14,1380.16,0.84603,0.59202,0.93346,0.87817,0.75689,0.82522,0.60856,0.75449,0.46601,0.90102,0.000181194,0.000181194,0.000181194
15,1478.49,0.83442,0.57538,0.92659,0.86216,0.77202,0.83848,0.61067,0.75431,0.45675,0.9009,0.000176363,0.000176363,0.000176363
16,1576.22,0.82974,0.57056,0.92543,0.89201,0.78484,0.8474,0.61658,0.75321,0.44997,0.90115,0.000171532,0.000171532,0.000171532
17,1674.56,0.83015,0.56285,0.92747,0.88194,0.80671,0.85875,0.63252,0.7401,0.44026,0.8946,0.000166701,0.000166701,0.000166701
18,1775.05,0.82227,0.55502,0.92529,0.87459,0.8196,0.85861,0.62977,0.74014,0.44128,0.89591,0.00016187,0.00016187,0.00016187
19,1873.37,0.81252,0.54481,0.9205,0.87236,0.79494,0.86507,0.63934,0.73365,0.43112,0.89387,0.000157038,0.000157038,0.000157038
20,1971.49,0.81105,0.53987,0.92043,0.9143,0.8088,0.87479,0.64687,0.72324,0.42587,0.88987,0.000152207,0.000152207,0.000152207
21,2069.43,0.80639,0.53117,0.91883,0.88781,0.83084,0.8723,0.64459,0.72023,0.41855,0.89002,0.000147376,0.000147376,0.000147376
22,2167.33,0.79924,0.52715,0.91639,0.90775,0.83094,0.87914,0.64905,0.71695,0.4176,0.88742,0.000142545,0.000142545,0.000142545
23,2265,0.79661,0.52039,0.91575,0.88666,0.83012,0.87488,0.65338,0.71846,0.41468,0.88741,0.000137714,0.000137714,0.000137714
24,2362.47,0.78576,0.51067,0.91175,0.89316,0.85958,0.88471,0.66145,0.71491,0.41002,0.88625,0.000132882,0.000132882,0.000132882
25,2459.95,0.78566,0.50677,0.91143,0.90258,0.83942,0.88105,0.65996,0.70669,0.40532,0.88394,0.000128051,0.000128051,0.000128051
26,2557.85,0.78287,0.50572,0.90851,0.88225,0.85245,0.87849,0.65791,0.70567,0.40244,0.88312,0.00012322,0.00012322,0.00012322
27,2655.94,0.77426,0.49702,0.9066,0.88103,0.87025,0.88991,0.66742,0.70063,0.39927,0.8823,0.000118389,0.000118389,0.000118389
28,2754.2,0.77314,0.49518,0.90755,0.89393,0.85913,0.88898,0.66482,0.69713,0.39693,0.88108,0.000113558,0.000113558,0.000113558
29,2852.39,0.76958,0.49043,0.90563,0.90399,0.85918,0.89256,0.67422,0.69134,0.39327,0.87978,0.000108726,0.000108726,0.000108726
30,2950.21,0.76724,0.48507,0.90494,0.9066,0.85874,0.89608,0.67527,0.69321,0.39382,0.88014,0.000103895,0.000103895,0.000103895
31,3048.59,0.76285,0.48318,0.90406,0.9171,0.85681,0.9005,0.67663,0.69435,0.38956,0.88092,9.9064e-05,9.9064e-05,9.9064e-05
32,3146.84,0.76022,0.48057,0.90337,0.92467,0.86584,0.90126,0.68106,0.69016,0.38532,0.87913,9.42328e-05,9.42328e-05,9.42328e-05
33,3243.87,0.75801,0.47483,0.90268,0.93097,0.86232,0.89915,0.68444,0.68319,0.3833,0.87672,8.94016e-05,8.94016e-05,8.94016e-05
34,3340.88,0.75258,0.47161,0.90209,0.90272,0.87165,0.9004,0.68522,0.68241,0.38112,0.87684,8.45704e-05,8.45704e-05,8.45704e-05
35,3439.88,0.75298,0.47046,0.90085,0.91374,0.86029,0.9056,0.68877,0.68192,0.3791,0.87612,7.97392e-05,7.97392e-05,7.97392e-05
36,3538.88,0.74754,0.46673,0.89896,0.931,0.86643,0.90424,0.68762,0.68099,0.37718,0.87516,7.4908e-05,7.4908e-05,7.4908e-05
37,3636.88,0.74453,0.4634,0.89824,0.90843,0.87429,0.90035,0.68345,0.67599,0.37524,0.87421,7.00768e-05,7.00768e-05,7.00768e-05
38,3733.82,0.73925,0.46092,0.89756,0.93321,0.87406,0.90986,0.69174,0.67464,0.37264,0.87359,6.52456e-05,6.52456e-05,6.52456e-05
39,3831.17,0.73875,0.45769,0.8965,0.93345,0.87591,0.9114,0.69202,0.67096,0.37111,0.872,6.04144e-05,6.04144e-05,6.04144e-05
40,3929.1,0.73755,0.45715,0.89666,0.92679,0.87472,0.90988,0.69309,0.66997,0.37074,0.87187,5.55832e-05,5.55832e-05,5.55832e-05
41,4025.02,0.69379,0.4005,0.87694,0.94363,0.86217,0.91126,0.6899,0.67113,0.37017,0.87147,5.0752e-05,5.0752e-05,5.0752e-05
42,4120.05,0.68354,0.39384,0.8739,0.92703,0.87046,0.91369,0.69579,0.66654,0.36727,0.86996,4.59208e-05,4.59208e-05,4.59208e-05
43,4214.89,0.68031,0.39135,0.87269,0.9469,0.86467,0.91436,0.69604,0.66494,0.36628,0.86976,4.10896e-05,4.10896e-05,4.10896e-05
44,4309.9,0.67787,0.38797,0.87185,0.94527,0.86625,0.9167,0.7017,0.66233,0.36381,0.86905,3.62584e-05,3.62584e-05,3.62584e-05
45,4404.05,0.67151,0.38431,0.87148,0.93591,0.87504,0.91609,0.70249,0.65937,0.36252,0.86882,3.14272e-05,3.14272e-05,3.14272e-05
46,4498.15,0.66752,0.38249,0.87035,0.94831,0.86722,0.91781,0.70345,0.65763,0.35983,0.86744,2.6596e-05,2.6596e-05,2.6596e-05
47,4594.04,0.66317,0.38035,0.86726,0.92388,0.87933,0.91604,0.70405,0.65792,0.35888,0.86735,2.17648e-05,2.17648e-05,2.17648e-05
48,4690.67,0.6598,0.37727,0.86682,0.9443,0.87092,0.91974,0.70517,0.6559,0.35796,0.86649,1.69336e-05,1.69336e-05,1.69336e-05
49,4787.1,0.65977,0.3766,0.86762,0.94497,0.87051,0.91859,0.70557,0.65527,0.35703,0.8666,1.21024e-05,1.21024e-05,1.21024e-05
50,4883.03,0.65635,0.37501,0.86468,0.92552,0.88243,0.91901,0.70666,0.65452,0.35664,0.86638,7.2712e-06,7.2712e-06,7.2712e-06
